Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk
2023-04-19 04:31:21.722412,138.56,161.67319842699996,0.0,0.021125,0.0,1.5109019799034997,1.5109019799034997
2023-04-19 04:34:21.722412,138.56000000000108,160.35950591952204,0.0,0.021125,0.0,1.510901979903625,1.510901979903625
2023-04-19 04:37:21.722412,138.55999999989476,159.2854986128887,0.0,0.021125,0.0,1.510901979892466,1.510901979892466
2023-04-19 04:40:21.722412,138.55999999866643,158.29576599634328,0.0,0.021125,0.0,1.5109019797635588,1.5109019797635588
2023-04-19 04:43:21.722412,138.5599999927699,157.55234002418123,0.0,0.021125,0.0,1.5109019791447786,1.5109019791447786
2023-04-19 04:46:21.722412,138.55999997449413,157.21725264707155,0.0,0.021125,0.0,1.510901977226944,1.510901977226944
2023-04-19 04:49:21.722412,138.5599999308572,157.4525358107585,0.0,0.021125,0.0,1.5109019726477135,1.5109019726477135
2023-04-19 04:52:21.722412,138.55999984309256,158.42022145535032,0.0,0.021125,0.0,1.51090196343777,1.51090196343777
2023-04-19 04:55:21.722412,138.5599996866284,160.2823415151384,0.0,0.021125,0.0,1.5109019470185523,1.5109019470185523
2023-04-19 04:58:21.722412,138.55999943142493,163.18511173978186,0.0,0.021125,0.0,1.5109019202377174,1.5109019202377174
2023-04-19 05:01:21.722412,138.55999904254355,167.17985079961082,0.0,0.021125,0.0,1.5109018794288374,1.5109018794288374
2023-04-19 05:04:21.722412,138.55999848084772,172.17553174917074,0.0,0.021125,0.0,1.5109018204849565,1.5109018204849565
2023-04-19 05:07:21.722412,138.55999770375976,178.04949528123444,0.0,0.021125,0.0,1.5109017389379877,1.5109017389379877
2023-04-19 05:10:21.722412,138.55999666602165,184.67908208564086,0.0,0.021125,0.0,1.5109016300386497,1.5109016300386497
2023-04-19 05:13:21.722412,138.55999532042603,191.88157501182218,0.0,0.021125,0.0,1.510901488832987,1.510901488832987
2023-04-19 05:16:21.722412,138.55999361849572,199.11390987842867,0.0,0.021125,0.0,1.5109013102338755,1.5109013102338755
2023-04-19 05:19:21.722412,138.55999151110177,205.29250195932306,0.0,0.021125,0.0,1.5109010890857821,1.5109010890857821
2023-04-19 05:22:21.722412,138.55998894901407,209.2136508516565,0.0,0.021125,0.0,1.5109008202225385,1.5109008202225385
2023-04-19 05:25:21.722412,138.55998588338497,209.6736561528041,0.0,0.021125,0.0,1.5109004985181143,1.5109004985181143
2023-04-19 05:28:21.722412,138.55998226616816,205.65311388884658,0.0,0.021125,0.0,1.5109001189306002,1.5109001189306002
2023-04-19 05:31:21.722412,138.55997805047596,197.2383986551559,0.0,0.021125,0.0,1.510899676539643,1.510899676539643
2023-04-19 05:34:21.722412,138.559973190881,186.17455290084,0.0,0.021125,0.0,1.510899166578184,1.510899166578184
2023-04-19 05:37:21.722412,138.55996764366608,174.5752119327189,0.0,0.021125,0.0,1.5108985844586031,1.5108985844586031
2023-04-19 05:40:21.722412,138.55996136702825,164.55401105946044,0.0,0.021125,0.0,1.5108979257941613,1.5108979257941613
2023-04-19 05:43:21.722412,138.5599543212414,158.02428519694175,0.0,0.021125,0.0,1.510897186416089,1.510897186416089
2023-04-19 05:46:21.722412,138.55994646878236,155.69756689431333,0.0,0.021125,0.0,1.510896362386779,1.510896362386779
2023-04-19 05:49:21.722412,138.55993777442453,156.48268514965872,0.0,0.021125,0.0,1.510895450009653,1.510895450009653
2023-04-19 05:52:21.722412,138.55992820530358,158.8878681737731,0.0,0.021125,0.0,1.5108944458360192,1.5108944458360192
2023-04-19 05:55:21.722412,138.5599177309576,161.42134417984167,0.0,0.021125,0.0,1.5108933466693222,1.5108933466693222
2023-04-19 05:58:21.722412,138.55990632334624,162.71002156951195,0.0,0.021125,0.0,1.5108921495671057,1.5108921495671057
2023-04-19 06:01:21.722412,138.55989395685089,162.09288986313203,0.0,0.021125,0.0,1.5108908518410822,1.5108908518410822
2023-04-19 06:04:21.722412,138.55988060825896,159.97706025787912,0.0,0.021125,0.0,1.510889451055448,1.510889451055448
2023-04-19 06:07:21.722412,138.5598662567343,157.00700432540987,0.0,0.021125,0.0,1.5108879450238186,1.5108879450238186
2023-04-19 06:10:21.722412,138.55985088377594,153.82719363973038,0.0,0.021125,0.0,1.5108863318048131,1.5108863318048131
2023-04-19 06:13:21.722412,138.5598344731672,151.03883597418144,0.0,0.021125,0.0,1.5108846096968427,1.5108846096968427
2023-04-19 06:16:21.722412,138.55981701091628,148.98355628654735,0.0,0.021125,0.0,1.5108827772317766,1.5108827772317766
2023-04-19 06:19:21.722412,138.55979848519058,147.61360531009146,0.0,0.021125,0.0,1.5108808331680545,1.5108808331680545
2023-04-19 06:22:21.722412,138.5597788862453,146.79470617425517,0.0,0.021125,0.0,1.510878776483269,1.510878776483269
2023-04-19 06:25:21.722412,138.55975820634794,146.39258201051734,0.0,0.021125,0.0,1.51087660636614,1.51087660636614
2023-04-19 06:28:21.722412,138.55973643969915,146.27713775859087,0.0,0.021125,0.0,1.5108743222082974,1.5108743222082974
2023-04-19 06:31:21.722412,138.559713582352,146.34336919771278,0.0,0.021125,0.0,1.5108719235957746,1.5108719235957746
2023-04-19 06:34:21.722412,138.5596896321288,146.5239083653846,0.0,0.021125,0.0,1.5108694103002474,1.5108694103002474
2023-04-19 06:37:21.722412,138.55966458853734,146.75975091336963,0.0,0.021125,0.0,1.5108667822703024,1.5108667822703024
2023-04-19 06:40:21.722412,138.5596384526871,146.99189249506065,0.0,0.021125,0.0,1.5108640396226107,1.5108640396226107
